Gene ID,source_id,Organism,Product Description,Protein Length,Molecular Weight,Superfamily Description,# TM Domains,Computed GO Functions
GL50803_00100969,GL50803_00100969_t1,Giardia Assemblage A isolate WB 2019,unspecified product,175,19347,N/A,0,N/A
GL50803_00100987,GL50803_00100987_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1524,171965,N/A,0,N/A
GL50803_00101010,GL50803_00101010_t1,Giardia Assemblage A isolate WB 2019,VSP with INR,419,42851,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_00101011,GL50803_00101011_t1,Giardia Assemblage A isolate WB 2019,Zinc finger protein,508,57477,"Zinc finger, CHY-type superfamily",0,zinc ion binding
GL50803_00101074,GL50803_00101074_t1,Giardia Assemblage A isolate WB 2019,VSP with INR,739,76764,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_00101120,GL50803_00101120_t1,Giardia Assemblage A isolate WB 2019,unspecified product,895,97971,N/A,0,N/A
GL50803_00101138,GL50803_00101138_t1,Giardia Assemblage A isolate WB 2019,Dynein heavy chain,5163,578220,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;ATP hydrolysis activity;microtubule motor activity;minus-end-directed microtubule motor activity
GL50803_00101168,GL50803_00101168_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,1121,125034,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_00101189,GL50803_00101189_t1,Giardia Assemblage A isolate WB 2019,unspecified product,392,43953,N/A,0,N/A
GL50803_00101194,GL50803_00101194_t1,Giardia Assemblage A isolate WB 2019,Ion channel family protein,1416,160458,N/A,7,N/A
GL50803_00101212,GL50803_00101212_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1719,192211,N/A,0,N/A
GL50803_0010122,GL50803_0010122_t1,Giardia Assemblage A isolate WB 2019,pseudogene,N/A,N/A,N/A,N/A,N/A
GL50803_0010125,GL50803_0010125_t1,Giardia Assemblage A isolate WB 2019,unspecified product,180,21001,N/A,0,N/A
GL50803_00101260,GL50803_00101260_t1,Giardia Assemblage A isolate WB 2019,unspecified product,587,66458,EF-hand domain pair,0,calcium ion binding
GL50803_00101278,GL50803_00101278_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1330,149775,N/A,0,N/A
GL50803_00101291,GL50803_00101291_t1,Giardia Assemblage A isolate WB 2019,Beta-tubulin 1,447,50050,"Tubulin/FtsZ, GTPase domain superfamily;Tubulin/FtsZ, C-terminal",0,GTP binding;GTPase activity;structural constituent of cytoskeleton
GL50803_00101307,GL50803_00101307_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",309,32500,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50803_00101309,GL50803_00101309_t1,Giardia Assemblage A isolate WB 2019,unspecified product,467,52060,N/A,0,N/A
GL50803_00101326,GL50803_00101326_t1,Giardia Assemblage A isolate WB 2019,unspecified product,320,35101,N/A,0,N/A
GL50803_00101330,GL50803_00101330_t1,Giardia Assemblage A isolate WB 2019,unspecified product,410,44684,N/A,12,N/A
GL50803_00101339,GL50803_00101339_t1,Giardia Assemblage A isolate WB 2019,FKBP-type peptidyl-prolyl cis-trans isomerase,215,23859,N/A,0,peptidyl-prolyl cis-trans isomerase activity
GL50803_0010136,GL50803_0010136_t1,Giardia Assemblage A isolate WB 2019,unspecified product,336,37964,N/A,0,N/A
GL50803_0010137,GL50803_0010137_t1,Giardia Assemblage A isolate WB 2019,Kinesin-9,756,84106,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;ATP-dependent microtubule motor activity;microtubule binding;microtubule motor activity
GL50803_00101380,GL50803_00101380_t1,Giardia Assemblage A isolate WB 2019,VSP,635,65071,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_0010139,GL50803_0010139_t1,Giardia Assemblage A isolate WB 2019,unspecified product,439,50045,N/A,0,N/A
GL50803_00101397,GL50803_00101397_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,346,37336,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0010141,GL50803_0010141_t1,Giardia Assemblage A isolate WB 2019,MRG family protein,401,46262,N/A,0,N/A
GL50803_00101423,GL50803_00101423_t1,Giardia Assemblage A isolate WB 2019,unspecified product,248,25272,N/A,0,N/A
GL50803_0010145,GL50803_0010145_t1,Giardia Assemblage A isolate WB 2019,Tubulin specific chaperone D,1291,144478,Armadillo-type fold,0,GTPase activator activity;beta-tubulin binding
GL50803_00101450,GL50803_00101450_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,511,55814,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,protein binding
GL50803_00101451,GL50803_00101451_t1,Giardia Assemblage A isolate WB 2019,Transmembrane domain-containing protein,253,26442,N/A,6,N/A
GL50803_0010148,GL50803_0010148_t1,Giardia Assemblage A isolate WB 2019,Nucleoside-diphosphate-sugar epimerase,339,37397,NAD(P)-binding domain superfamily,1,catalytic activity
GL50803_00101496,GL50803_00101496_t1,Giardia Assemblage A isolate WB 2019,VSP,398,40935,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_00101501,GL50803_00101501_t1,Giardia Assemblage A isolate WB 2019,Seryl-tRNA synthetase,457,51756,"Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm",0,ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;serine-tRNA ligase activity
GL50803_00101534,GL50803_00101534_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",285,31414,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50803_00101589,GL50803_00101589_t1,Giardia Assemblage A isolate WB 2019,High cysteine membrane protein,393,40120,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_00101594,GL50803_00101594_t1,Giardia Assemblage A isolate WB 2019,CCAAT-box-binding transcription factor,1059,119171,N/A,0,N/A
GL50803_0010161,GL50803_0010161_t1,Giardia Assemblage A isolate WB 2019,unspecified product,853,91922,WD40-repeat-containing domain superfamily;Quinoprotein alcohol dehydrogenase-like superfamily,0,protein binding
GL50803_0010162,GL50803_0010162_t1,Giardia Assemblage A isolate WB 2019,unspecified product,528,58244,Homeobox-like domain superfamily,0,N/A
GL50803_0010167,GL50803_0010167_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1190,133026,N/A,0,N/A
GL50803_00101699,GL50803_00101699_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,1062,117577,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_00101739,GL50803_00101739_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1180,133248,N/A,0,N/A
GL50803_00101765,GL50803_00101765_t1,Giardia Assemblage A isolate WB 2019,VSP,699,71908,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_00101768,GL50803_00101768_t1,Giardia Assemblage A isolate WB 2019,unspecified product,158,17800,N/A,0,N/A
GL50803_00101805,GL50803_00101805_t1,Giardia Assemblage A isolate WB 2019,High cysteine membrane protein Group 1,742,80255,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_0010181,GL50803_0010181_t1,Giardia Assemblage A isolate WB 2019,unspecified product,758,85260,N/A,0,N/A
GL50803_00101810,GL50803_00101810_t1,Giardia Assemblage A isolate WB 2019,putative Phospholipid-transporting ATPase IIB,1432,159456,"HAD-like superfamily;P-type ATPase, A domain superfamily;P-type ATPase, cytoplasmic domain N;P-type ATPase, transmembrane domain superfamily",9,nucleotide binding
GL50803_0010182,GL50803_0010182_t1,Giardia Assemblage A isolate WB 2019,unspecified product,164,17531,N/A,0,N/A
GL50803_00101824,GL50803_00101824_t1,Giardia Assemblage A isolate WB 2019,unspecified product,863,95424,N/A,0,N/A
GL50803_00101832,GL50803_00101832_t1,Giardia Assemblage A isolate WB 2019,High cysteine membrane protein,536,57048,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_00101850,GL50803_00101850_t1,Giardia Assemblage A isolate WB 2019,"Kinase, CMGC DYRK",404,46960,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50803_00101866,GL50803_00101866_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",809,87901,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50803_00101877,GL50803_00101877_t1,Giardia Assemblage A isolate WB 2019,unspecified product,599,66439,N/A,0,N/A
GL50803_0010190,GL50803_0010190_t1,Giardia Assemblage A isolate WB 2019,NLI interacting factor-like phosphatase,604,68774,BRCT domain superfamily;HAD-like superfamily,0,RNA polymerase II CTD heptapeptide repeat phosphatase activity
GL50803_00101904,GL50803_00101904_t1,Giardia Assemblage A isolate WB 2019,putative Serine/Threonine protein phosphatase,615,68642,Metallo-dependent phosphatase-like,0,calmodulin-dependent protein phosphatase activity;hydrolase activity
GL50803_00101906,GL50803_00101906_t1,Giardia Assemblage A isolate WB 2019,Vacuolar protein sorting 4a,454,49725,MIT domain superfamily;P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;ATP hydrolysis activity
GL50803_00101918,GL50803_00101918_t1,Giardia Assemblage A isolate WB 2019,unspecified product,319,36902,N/A,0,N/A
GL50803_00101919,GL50803_00101919_t1,Giardia Assemblage A isolate WB 2019,"5'-AMP-activated protein kinase, beta-1 subunit",245,27783,ASC domain superfamily;Immunoglobulin E-set,0,protein binding
GL50803_0010192,GL50803_0010192_t1,Giardia Assemblage A isolate WB 2019,unspecified product,150,17339,Translation Initiation factor eIF- 4e-like,0,N/A
GL50803_0010193,GL50803_0010193_t1,Giardia Assemblage A isolate WB 2019,putative WD-repeat membrane protein,960,106396,"Quinoprotein amine dehydrogenase, beta chain-like",0,protein binding
GL50803_00101943,GL50803_00101943_t1,Giardia Assemblage A isolate WB 2019,putative GINS complex protein,201,22896,"GINS, helical bundle-like domain superfamily",0,N/A
GL50803_00101948,GL50803_00101948_t1,Giardia Assemblage A isolate WB 2019,unspecified product,2760,310411,N/A,0,N/A
GL50803_00101955,GL50803_00101955_t1,Giardia Assemblage A isolate WB 2019,unspecified product,764,85835,N/A,7,N/A
GL50803_0010196,GL50803_0010196_t1,Giardia Assemblage A isolate WB 2019,unspecified product,164,17527,N/A,0,N/A
GL50803_00101994,GL50803_00101994_t1,Giardia Assemblage A isolate WB 2019,unspecified product,816,90645,N/A,0,N/A
GL50803_00102022,GL50803_00102022_t1,Giardia Assemblage A isolate WB 2019,unspecified product,959,107209,N/A,0,N/A
GL50803_00102023,GL50803_00102023_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,837,91916,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_00102034,GL50803_00102034_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",978,108209,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50803_00102051,GL50803_00102051_t1,Giardia Assemblage A isolate WB 2019,Amino acid transporter family,651,72734,N/A,9,N/A
GL50803_00102056,GL50803_00102056_t1,Giardia Assemblage A isolate WB 2019,unspecified product,2077,235253,N/A,0,protein binding
GL50803_00102071,GL50803_00102071_t1,Giardia Assemblage A isolate WB 2019,unspecified product,970,109092,N/A,0,N/A
GL50803_00102101,GL50803_00102101_t1,Giardia Assemblage A isolate WB 2019,Kinesin-3,1026,114615,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;ATP-dependent microtubule motor activity;microtubule binding;microtubule motor activity
GL50803_00102108,GL50803_00102108_t1,Giardia Assemblage A isolate WB 2019,Clathrin heavy chain,1871,206954,"Armadillo-type fold;Clathrin heavy chain, N-terminal",0,clathrin light chain binding;protein binding;structural molecule activity
GL50803_00102110,GL50803_00102110_t1,Giardia Assemblage A isolate WB 2019,Chromosome segregation protein SMC,810,90140,N/A,0,N/A
GL50803_0010217,GL50803_0010217_t1,Giardia Assemblage A isolate WB 2019,Cathepsin B,303,33478,Papain-like cysteine peptidase superfamily,0,cysteine-type peptidase activity
GL50803_00102170,GL50803_00102170_t1,Giardia Assemblage A isolate WB 2019,unspecified product,252,28357,N/A,0,N/A
GL50803_00102178,GL50803_00102178_t1,Giardia Assemblage A isolate WB 2019,VSP,128,12793,N/A,2,N/A
GL50803_0010218,GL50803_0010218_t1,Giardia Assemblage A isolate WB 2019,unspecified product,198,22832,Papain-like cysteine peptidase superfamily,0,N/A
GL50803_00102184,GL50803_00102184_t1,Giardia Assemblage A isolate WB 2019,unspecified product,2541,286012,N/A,0,N/A
GL50803_0010219,GL50803_0010219_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,1430,159167,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0010221,GL50803_0010221_t1,Giardia Assemblage A isolate WB 2019,unspecified product,334,37913,N/A,2,N/A
GL50803_00102248,GL50803_00102248_t1,Giardia Assemblage A isolate WB 2019,Coiled-coil protein,1022,115538,N/A,0,N/A
GL50803_00102263,GL50803_00102263_t1,Giardia Assemblage A isolate WB 2019,Kelch motif-containing protein,330,37066,Kelch-type beta propeller,0,protein binding
GL50803_0010229,GL50803_0010229_t1,Giardia Assemblage A isolate WB 2019,unspecified product,539,59392,WD40-repeat-containing domain superfamily,0,protein binding
GL50803_0010231,GL50803_0010231_t1,Giardia Assemblage A isolate WB 2019,TCP-1 chaperonin subunit zeta protein,559,60941,GroEL-like equatorial domain superfamily;GroEL-like apical domain superfamily;TCP-1-like chaperonin intermediate domain superfamily,0,ATP binding;ATP hydrolysis activity;unfolded protein binding
GL50803_0010232,GL50803_0010232_t1,Giardia Assemblage A isolate WB 2019,unspecified product,669,73121,N/A,0,N/A
GL50803_00102322,GL50803_00102322_t1,Giardia Assemblage A isolate WB 2019,putative Glycosyltransferase,901,99676,Nucleotide-diphospho-sugar transferases,4,N/A
GL50803_0010238,GL50803_0010238_t1,Giardia Assemblage A isolate WB 2019,Glycosaminoglycan polysaccharide lyase,1024,113229,Chondroitin AC/alginate lyase;Galactose mutarotase-like domain superfamily,1,carbohydrate binding;catalytic activity;lyase activity
GL50803_0010239,GL50803_0010239_t1,Giardia Assemblage A isolate WB 2019,unspecified product,365,38922,N/A,1,N/A
GL50803_0010241,GL50803_0010241_t1,Giardia Assemblage A isolate WB 2019,unspecified product,292,33392,N/A,0,N/A
GL50803_00102438,GL50803_00102438_t1,Giardia Assemblage A isolate WB 2019,Plasma membrane calcium-transporting ATPase 2,782,85317,"HAD-like superfamily;P-type ATPase, A domain superfamily;P-type ATPase, transmembrane domain superfamily",10,N/A
GL50803_00102444,GL50803_00102444_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,221,23927,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_00102455,GL50803_00102455_t1,Giardia Assemblage A isolate WB 2019,Kinesin-6,1194,130369,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;ATP-dependent microtubule motor activity;microtubule binding
GL50803_00102461,GL50803_00102461_t1,Giardia Assemblage A isolate WB 2019,putative Spindle pole protein,2264,253204,N/A,0,N/A
GL50803_00102515,GL50803_00102515_t1,Giardia Assemblage A isolate WB 2019,putative RNA-directed RNA polymerase,2001,224612,N/A,0,RNA binding;RNA-directed 5'-3' RNA polymerase activity
GL50803_0010254,GL50803_0010254_t1,Giardia Assemblage A isolate WB 2019,Dynein intermediate chain,804,88348,WD40-repeat-containing domain superfamily,0,protein binding
GL50803_00102542,GL50803_00102542_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",805,87682,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity;protein tyrosine kinase activity
GL50803_0010255,GL50803_0010255_t1,Giardia Assemblage A isolate WB 2019,putative Translation initiation factor eIF-4A,391,43273,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;RNA helicase activity;hydrolase activity;nucleic acid binding;translation initiation factor activity
GL50803_0010256,GL50803_0010256_t1,Giardia Assemblage A isolate WB 2019,unspecified product,198,22779,N/A,0,N/A
GL50803_00102575,GL50803_00102575_t1,Giardia Assemblage A isolate WB 2019,unspecified product,503,55397,"Bactericidal permeability-increasing protein, alpha/beta domain superfamily",0,lipid binding
GL50803_0010260,GL50803_0010260_t1,Giardia Assemblage A isolate WB 2019,unspecified product,745,83192,N/A,0,N/A
GL50803_0010261,GL50803_0010261_t1,Giardia Assemblage A isolate WB 2019,MIZ/SP-RING zinc finger domain-containing protein,515,57865,N/A,0,zinc ion binding
GL50803_00102647,GL50803_00102647_t1,Giardia Assemblage A isolate WB 2019,Sodium/hydrogen exchanger 3,860,95040,N/A,11,sodium:proton antiporter activity;solute:proton antiporter activity
GL50803_00102654,GL50803_00102654_t1,Giardia Assemblage A isolate WB 2019,unspecified product,2729,299912,N/A,0,N/A
GL50803_00102662,GL50803_00102662_t1,Giardia Assemblage A isolate WB 2019,VSP,521,53647,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_00102688,GL50803_00102688_t1,Giardia Assemblage A isolate WB 2019,unspecified product,339,37961,N/A,0,N/A
GL50803_0010269,GL50803_0010269_t1,Giardia Assemblage A isolate WB 2019,unspecified product,206,23196,N/A,0,N/A
GL50803_0010270,GL50803_0010270_t1,Giardia Assemblage A isolate WB 2019,unspecified product,398,42975,"K Homology domain, type 1 superfamily",0,RNA binding
GL50803_00102710,GL50803_00102710_t1,Giardia Assemblage A isolate WB 2019,Ubiquitin carboxyl-terminal hydrolase 14,813,91751,UBA-like superfamily;Papain-like cysteine peptidase superfamily,0,protein binding;thiol-dependent deubiquitinase;zinc ion binding
GL50803_00102722,GL50803_00102722_t1,Giardia Assemblage A isolate WB 2019,Ribosome biogenesis protein BMS1,1293,145866,P-loop containing nucleoside triphosphate hydrolase,0,N/A
GL50803_00102728,GL50803_00102728_t1,Giardia Assemblage A isolate WB 2019,unspecified product,621,68103,N/A,0,N/A
GL50803_00102813,GL50803_00102813_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,343,36989,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_00102858,GL50803_00102858_t1,Giardia Assemblage A isolate WB 2019,DNA helicase,1108,122454,P-loop containing nucleoside triphosphate hydrolase,0,helicase activity
GL50803_00102874,GL50803_00102874_t1,Giardia Assemblage A isolate WB 2019,unspecified product,615,67813,N/A,0,N/A
GL50803_00102890,GL50803_00102890_t1,Giardia Assemblage A isolate WB 2019,putative WD-repeat family protein,363,40035,WD40-repeat-containing domain superfamily,0,protein binding
GL50803_00102893,GL50803_00102893_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,1252,138510,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,protein binding
GL50803_0010291,GL50803_0010291_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1139,128565,N/A,0,N/A
GL50803_00102921,GL50803_00102921_t1,Giardia Assemblage A isolate WB 2019,"Transporter, MFS superfamily protein",620,69418,MFS transporter superfamily,11,N/A
GL50803_00102961,GL50803_00102961_t1,Giardia Assemblage A isolate WB 2019,ENC6 protein,668,72976,Alpha/Beta hydrolase fold,0,N/A
GL50803_00102963,GL50803_00102963_t1,Giardia Assemblage A isolate WB 2019,tRNA 2-methylthioadenosine synthase,525,58322,N/A,0,"4 iron, 4 sulfur cluster binding;catalytic activity;iron-sulfur cluster binding;methylthiotransferase activity"
GL50803_0010297,GL50803_0010297_t1,Giardia Assemblage A isolate WB 2019,putative U3 small nucleolar RNA interacting protein,449,49984,Quinoprotein alcohol dehydrogenase-like superfamily,0,U3 snoRNA binding;protein binding
GL50803_00102978,GL50803_00102978_t1,Giardia Assemblage A isolate WB 2019,N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase,192,20819,N/A,1,hexosyltransferase activity
GL50803_0010299,GL50803_0010299_t1,Giardia Assemblage A isolate WB 2019,unspecified product,217,24566,N/A,0,N/A
GL50803_0010303,GL50803_0010303_t1,Giardia Assemblage A isolate WB 2019,unspecified product,399,44428,N/A,0,N/A
GL50803_00103058,GL50803_00103058_t1,Giardia Assemblage A isolate WB 2019,putative Methyltransferase,416,45866,S-adenosyl-L-methionine-dependent methyltransferase,0,mRNA (nucleoside-2'-O-)-methyltransferase activity;methyltransferase activity
GL50803_00103059,GL50803_00103059_t1,Giardia Assemblage A isolate WB 2019,Dynein heavy chain,2406,274109,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding
GL50803_00103074,GL50803_00103074_t1,Giardia Assemblage A isolate WB 2019,Inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase,2183,245398,Histidine phosphatase superfamily,0,inositol heptakisphosphate kinase activity
GL50803_00103082,GL50803_00103082_t1,Giardia Assemblage A isolate WB 2019,unspecified product,993,107295,N/A,0,N/A
GL50803_00103094,GL50803_00103094_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,223,24144,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0010311,GL50803_0010311_t1,Giardia Assemblage A isolate WB 2019,Ornithine carbamoyltransferase,327,36437,Aspartate/ornithine carbamoyltransferase superfamily,0,amino acid binding;carboxyl- or carbamoyltransferase activity
GL50803_00103125,GL50803_00103125_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1728,192013,N/A,0,N/A
GL50803_0010313,GL50803_0010313_t1,Giardia Assemblage A isolate WB 2019,Kinase,304,33491,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity;protein serine/threonine kinase activity
GL50803_00103142,GL50803_00103142_t1,Giardia Assemblage A isolate WB 2019,VSP with INR,1474,157173,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_0010315,GL50803_0010315_t1,Giardia Assemblage A isolate WB 2019,Qb-SNARE 5,222,25125,N/A,1,N/A
GL50803_0010316,GL50803_0010316_t1,Giardia Assemblage A isolate WB 2019,unspecified product,330,37056,N/A,0,N/A
GL50803_00103164,GL50803_00103164_t1,Giardia Assemblage A isolate WB 2019,SHIPPO repeat domain-containing protein,399,42264,N/A,0,N/A
GL50803_00103175,GL50803_00103175_t1,Giardia Assemblage A isolate WB 2019,unspecified product,981,108446,N/A,0,N/A
GL50803_00103202,GL50803_00103202_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1361,151794,N/A,0,N/A
GL50803_00103205,GL50803_00103205_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1270,143649,N/A,0,N/A
GL50803_0010324,GL50803_0010324_t1,Giardia Assemblage A isolate WB 2019,Ribulose-phosphate 3-epimerase,241,25703,Ribulose-phosphate binding barrel,0,"catalytic activity;racemase and epimerase activity, acting on carbohydrates and derivatives;ribulose-phosphate 3-epimerase activity"
GL50803_00103285,GL50803_00103285_t1,Giardia Assemblage A isolate WB 2019,Protein BAP28,2381,262510,Armadillo-type fold,0,N/A
GL50803_0010329,GL50803_0010329_t1,Giardia Assemblage A isolate WB 2019,Ferredoxin Fd3,64,6887,N/A,0,N/A
GL50803_0010330,GL50803_0010330_t1,Giardia Assemblage A isolate WB 2019,Tenascin-like protein,257,28090,N/A,0,N/A
GL50803_0010335,GL50803_0010335_t1,Giardia Assemblage A isolate WB 2019,putative tRNA methyltransferase subunit,258,29481,S-adenosyl-L-methionine-dependent methyltransferase,0,tRNA (guanine-N7-)-methyltransferase activity
GL50803_00103365,GL50803_00103365_t1,Giardia Assemblage A isolate WB 2019,unspecified product,2043,230759,N/A,0,N/A
